"module name","license","repository"
"@babel/code-frame@7.10.4","MIT","https://github.com/babel/babel"
"@babel/generator@7.10.5","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-get-function-arity@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.10.4","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.10.4","MIT","https://github.com/babel/babel"
"@babel/highlight@7.10.4","MIT","https://github.com/babel/babel"
"@babel/parser@7.10.5","MIT","https://github.com/babel/babel"
"@babel/runtime@7.10.5","MIT","https://github.com/babel/babel"
"@babel/template@7.10.4","MIT","https://github.com/babel/babel"
"@babel/traverse@7.10.5","MIT","https://github.com/babel/babel"
"@babel/types@7.10.5","MIT","https://github.com/babel/babel"
"@babylonjs/core@4.1.0","Apache-2.0","https://github.com/BabylonJS/Babylon.js"
"@babylonjs/gui@4.1.0","Apache-2.0","https://github.com/BabylonJS/Babylon.js"
"@babylonjs/loaders@4.1.0","Apache-2.0","https://github.com/BabylonJS/Babylon.js"
"@date-io/core@1.3.13","MIT","https://github.com/dmtrKovalenko/date-io"
"@date-io/date-fns@1.3.13","MIT","https://github.com/dmtrKovalenko/date-io"
"@emotion/hash@0.8.0","MIT","https://github.com/emotion-js/emotion/tree/master/packages/hash"
"@emotion/is-prop-valid@0.8.8","MIT","https://github.com/emotion-js/emotion/tree/master/packages/is-prop-valid"
"@emotion/memoize@0.7.4","MIT","https://github.com/emotion-js/emotion/tree/master/packages/memoize"
"@emotion/stylis@0.8.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/stylis"
"@emotion/unitless@0.7.5","MIT","https://github.com/emotion-js/emotion/tree/master/packages/unitless"
"@material-ui/core@4.11.0","MIT","https://github.com/mui-org/material-ui"
"@material-ui/icons@4.9.1","MIT","https://github.com/mui-org/material-ui"
"@material-ui/lab@4.0.0-alpha.56","MIT","https://github.com/mui-org/material-ui"
"@material-ui/pickers@3.2.10","MIT","https://github.com/mui-org/material-ui-pickers"
"@material-ui/styles@4.10.0","MIT","https://github.com/mui-org/material-ui"
"@material-ui/system@4.9.14","MIT","https://github.com/mui-org/material-ui"
"@material-ui/types@5.1.0","MIT","https://github.com/mui-org/material-ui"
"@material-ui/utils@4.10.2","MIT","https://github.com/mui-org/material-ui"
"@types/prop-types@15.7.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react-transition-group@4.4.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/react@16.9.43","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/styled-jsx@2.2.8","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abab@1.0.4","ISC","https://github.com/jsdom/abab"
"acorn-globals@1.0.9","MIT","https://github.com/ForbesLindesay/acorn-globals"
"acorn@2.7.0","MIT","https://github.com/ternjs/acorn"
"ajv@6.12.3","MIT","https://github.com/ajv-validator/ajv"
"ansi-styles@3.2.1","MIT","https://github.com/chalk/ansi-styles"
"array-equal@1.0.0","MIT","https://github.com/component/array-equal"
"asn1@0.2.4","MIT","https://github.com/joyent/node-asn1"
"assert-plus@1.0.0","MIT","https://github.com/mcavage/node-assert-plus"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"aws-sign2@0.7.0","Apache-2.0","https://github.com/mikeal/aws-sign"
"aws4@1.10.0","MIT","https://github.com/mhart/aws4"
"babel-plugin-styled-components@1.10.7","MIT","https://github.com/styled-components/babel-plugin-styled-components"
"babel-plugin-syntax-jsx@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-jsx"
